subject,acc,f1_macro,val_loss
S10,0.6062992125984252,0.42696288024054907,0.06554734498059968
S11,0.7235996326905417,0.4116130997715156,0.07342894590768011
S13,0.6041666666666666,0.1970554926387316,0.06567627965223846
S14,0.6707105719237435,0.21759252646163957,0.0849084234565285
S15,0.6248856358645929,0.2599355686441752,0.10344009531181397
S16,0.6825938566552902,0.498272056168827,0.1225103445527469
S17,0.5827922077922078,0.209477886977887,0.0905835999622764
S2,0.7138339920948616,0.20825645756457564,0.08361881110619959
S3,0.7601776461880089,0.347459964701344,0.08289302316044221
S4,0.42782348541510845,0.29498303435712575,0.10765114333870271
S5,0.7265745007680492,0.2768407387682124,0.09415876868941206
S6,0.6317934782608695,0.2933606393844377,0.08317724739212588
S7,0.5660550458715596,0.18376322190169128,0.10947916569852997
S8,0.37906772207563766,0.14818021816675922,0.08869855626575908
S9,0.764489420423183,0.5763023096299807,0.11125079447620749
